loan_amount,annual_income,interest_rate,dti_ratio,credit_score,employment_length,num_open_accounts,num_derogatory_records,revolving_utilization,total_credit_lines,months_since_last_delinquency,home_ownership,loan_purpose,term_months,default
18914,39851,6.28,9.76,627,7,9,1,14.3,23,36,RENT,debt_consolidation,36,0
12127,49846,27.67,41.65,687,10,5,1,25.5,22,0,RENT,debt_consolidation,60,0
21023,41838,23.4,23.17,778,2,11,0,26.5,26,0,RENT,home_improvement,36,0
38797,63975,24.98,21.65,730,8,11,2,5.4,24,36,OWN,debt_consolidation,36,0
11340,122799,20.97,44.82,625,5,10,3,25.6,33,0,MORTGAGE,credit_card,36,0
11340,37698,9.28,17.28,768,1,10,0,2.0,26,0,OWN,credit_card,36,0
40000,109151,5.71,38.44,720,3,11,1,62.1,16,0,MORTGAGE,car,60,0
22861,37458,24.89,38.81,675,0,8,0,29.8,24,999,MORTGAGE,debt_consolidation,36,0
9617,36005,14.12,10.47,607,3,9,0,41.5,18,48,RENT,debt_consolidation,60,0
19531,97846,11.07,4.27,726,0,7,0,28.0,22,72,MORTGAGE,debt_consolidation,36,0
9658,104105,17.92,43.9,690,10,12,0,34.9,24,60,MORTGAGE,home_improvement,36,0
9643,99792,14.68,19.17,709,1,7,0,10.3,17,0,RENT,debt_consolidation,36,0
15825,27187,19.99,0.1,604,9,10,0,61.6,16,999,OTHER,debt_consolidation,60,0
3500,45271,16.13,22.46,674,10,8,3,41.6,17,999,OWN,major_purchase,60,0
3994,98104,21.04,27.87,728,5,13,0,19.2,31,48,MORTGAGE,credit_card,36,0
9012,61385,24.63,34.92,812,0,15,0,16.2,26,72,MORTGAGE,other,36,0
6574,31438,9.5,42.43,687,7,8,0,41.0,38,24,RENT,small_business,36,0
16646,78825,12.58,41.18,786,2,7,0,11.6,29,36,RENT,major_purchase,36,0
7075,38992,15.05,42.31,747,2,9,0,39.1,25,36,RENT,credit_card,36,0
4971,175731,27.13,1.45,714,7,14,3,15.4,20,0,RENT,medical,60,0
37270,151282,13.4,32.03,639,4,15,1,50.8,18,60,RENT,medical,36,0
11406,86030,13.77,10.16,641,9,13,0,51.8,18,72,MORTGAGE,other,60,0
14006,135483,20.03,8.44,737,7,14,0,5.8,26,18,MORTGAGE,small_business,60,0
4927,62247,14.64,36.01,668,9,13,1,41.8,13,0,RENT,major_purchase,60,0
9126,94775,26.88,18.77,663,0,9,1,38.8,17,48,MORTGAGE,education,36,0
14438,145311,25.57,41.25,689,2,11,1,31.4,21,24,OWN,debt_consolidation,36,1
5968,69376,16.81,1.91,690,7,15,0,15.1,20,0,MORTGAGE,other,36,0
17378,51374,19.83,36.1,754,10,8,1,23.3,21,999,RENT,credit_card,60,0
8774,21530,6.33,6.16,669,9,4,0,61.9,31,60,MORTGAGE,medical,36,0
10892,56960,21.0,7.95,748,8,9,2,20.7,28,18,RENT,credit_card,60,0
8767,98130,21.27,21.48,726,7,9,0,27.7,22,999,RENT,other,36,0
40000,105596,13.26,17.8,599,8,4,0,44.8,19,999,RENT,small_business,36,0
13234,81033,10.05,21.88,717,2,13,0,48.5,21,0,MORTGAGE,debt_consolidation,60,0
6371,43270,26.05,42.3,539,7,10,3,9.8,19,72,MORTGAGE,debt_consolidation,36,0
23760,18286,14.81,29.58,646,6,12,1,22.1,29,72,RENT,other,60,0
5683,44483,20.04,13.06,727,4,14,1,11.1,18,0,OWN,credit_card,36,0
15462,49880,5.77,7.78,699,10,14,1,68.1,23,0,MORTGAGE,debt_consolidation,36,0
3388,49624,14.52,18.9,593,9,12,1,30.0,17,0,MORTGAGE,medical,60,1
